baseline_mean,baseline_sd,closed_time,end_date,event_ts,has_history,history_chunk_count,history_error_count,history_point_count,hours_before_close_cross_10pct,hours_before_close_cross_1pct,hours_before_close_cross_2pct,hours_before_close_cross_5pct,jump_24h_to_1h,jump_6h_to_1h,market_id,max_6h,max_6h_z,min_6h,n_points,p_1h,p_24h,p_6h,p_last,pre1h_mean,pre24h_mean,pre6h_mean,question,range_6h,signal_score,slug,start_date,volume_num,yes_token
0.006413209541062802,0.0012108702856229565,2025-04-30 07:48:13+00,2025-04-29T12:00:00Z,1745999293,True,10,0,43200,,665.77,,,-0.0015,-0.001,519847,0.003,-2.8188069205999287,0.0005,43200,0.002,0.0035,0.003,0.0015,0.0016250000000000001,0.002565277777777778,0.0021569444444444444,Will Trump meet with Ali Khamenei in his first 100 days?,0.0025,0.05,will-trump-meet-with-ali-khamenei-in-his-first-100-days,2025-01-23T23:03:14.947013Z,200069.790465,63798294103556352138310065106043397996191783435681636975647527999860207250244
0.06680070368670644,0.02757118273298882,2025-05-01 11:22:25+00,2025-04-30T12:00:00Z,1746098545,True,10,0,42765,712.74,712.74,712.74,712.74,-0.006,-0.002,533211,0.0025,-2.3321706692608033,0.0005,42765,0.0005,0.0065,0.0025,0.0005,0.0005,0.003562152777777778,0.0009444444444444445,Israel military action against Iran in April?,0.002,0.04,israel-military-action-against-iran-in-april,2025-04-01T18:27:07.4165Z,683388.758467,54037998082616777102246557105375948457846700095211627173407852146807039540946
0.009639975217601546,0.003287680294438323,2026-01-01 08:35:51+00,2025-12-31T12:00:00Z,1767256551,True,10,0,43166,127.58,720.0,296.75,127.58,-0.002,-0.002,521878,0.0025,-2.171736476226123,0.0005,43166,0.0005,0.0025,0.0025,0.0005,0.0005,0.002357638888888889,0.0019305555555555556,US-Iran nuclear deal in 2025?,0.002,0.04,us-x-iran-nuclear-deal-in-2025,2025-02-05T18:52:39.101Z,2796606.535144,86964554239869134298526596083850367463176146674230300967120111145834668642528
0.025088676236044657,0.04024944093247552,2025-03-22 06:29:09+00,2025-03-21T12:00:00Z,1742624949,True,10,0,6015,100.23,100.23,100.23,100.23,0.0,-0.0005,528764,0.0015,-0.5860622083078918,0.0005,6015,0.0005,0.0005,0.001,0.0005,0.0005,0.001134375,0.0007944444444444444,Fact Check: Did the U.S. hit Iranian spy ship?,0.001,0.02,fact-check-did-the-us-hit-iranian-spy-ship,2025-03-18T02:09:25.638Z,137247.52387,21453350419137524068108982803427927723007928603805535457524619576388467550821
0.028968669033681987,0.014781219720588608,2025-04-01 07:56:14+00,2025-03-31T12:00:00Z,1743494174,True,10,0,20501,340.7,341.67,341.67,341.67,-0.002,-0.001,528760,0.0015,-1.8583492805685826,0.0005,20501,0.0005,0.0025,0.0015,0.0005,0.0005,0.0019131944444444446,0.0010291666666666667,Israel military action against Iranian nuclear facility in March?,0.001,0.02,israel-military-action-against-iranian-nuclear-facility-in-march,2025-03-18T02:09:35.734Z,49514.160255,113806191964330906304157188205249277745600606021695879898338715678637075979855
0.15298973119903353,0.07128550194771312,2025-07-01 06:04:13+00,2025-06-30T12:00:00Z,1751349853,True,10,0,43188,719.99,719.99,719.99,719.99,-0.002,-0.0005,537195,0.0015,-2.1251127797367415,0.0005,43188,0.0005,0.0025,0.001,0.0005,0.0005,0.001788888888888889,0.0005541666666666667,US-Iran nuclear deal before July?,0.001,0.02,us-iran-nuclear-deal-before-july,2025-04-14T21:15:07.725Z,2905711.212092,25009308950201377351599447846248861147611469669632550804193755818060327719237
0.009999939609879823,0.0070255254412953634,2025-10-21 18:40:31+00,2025-12-31T12:00:00Z,1761072031,True,10,0,43198,,719.99,262.66,261.74,-0.001,0.0,527799,0.001,-1.2810343774401616,0.0005,43198,0.0005,0.0015,0.0005,0.0005,0.0005,0.0012864583333333332,0.0005013888888888889,Will Nicolás Maduro be the first leader out in 2025?,0.0005,0.01,will-nicols-maduro-be-the-first-leader-out-in-2025,2025-03-11T21:45:17.223138Z,2046070.936569,23493618722085605426254346228092420685811419629377493431936477083821097122986
0.010640126329787234,0.005434436052516923,2026-01-01 08:40:57+00,2025-12-31T12:00:00Z,1767256857,True,10,0,43166,127.66,720.0,698.0,127.66,0.0,-0.0005,519695,0.001,-1.7738963595537156,0.0005,43166,0.0005,0.0005,0.001,0.0005,0.0005,0.0008295138888888889,0.0005277777777777778,Will Iran close the Strait of Hormuz in 2025?,0.0005,0.01,will-iran-close-the-strait-of-hormuz-in-2025,2025-01-23T00:32:15.017Z,3538910.875464,108468416668663017133298741485453125150952822149773262784582671647441799250111
0.05197564919623324,0.024606441405476197,2025-04-01 09:22:12+00,2025-03-31T12:00:00Z,1743499332,True,10,0,20593,343.12,343.2,343.2,343.2,-0.0035,0.0,528761,0.0005,-2.091958294496711,0.0005,20593,0.0005,0.004,0.0005,0.0005,0.0005,0.0029423611111111113,0.0005,Israel military action against Iran in March?,0.0,0.0,israel-military-action-against-iran-in-march,2025-03-18T02:00:59.905455Z,107651.071354,54600502781843617970405893877696581517860380992931855114171384178072757933599
0.06161192638111835,0.028893514938910528,2025-05-01 08:15:25+00,2025-04-30T12:00:00Z,1746087325,True,10,0,42789,713.14,713.14,713.14,713.14,-0.003,0.0,533151,0.0005,-2.1150741441575076,0.0005,42789,0.0005,0.0035,0.0005,0.0005,0.0005,0.0021027777777777776,0.0005,US military action against Iran in April?,0.0,0.0,us-military-action-against-iran-in-april,2025-04-01T14:52:51.513648Z,1075567.463129,98459411693464008582891330052775786892261102123444879805392238933791642554250
0.0061386859109849624,0.0024625862516647577,2025-10-21 18:35:03+00,2025-12-31T12:00:00Z,1761071703,True,10,0,43198,,668.45,,,-0.002,0.0,527803,0.0005,-2.289741489124735,0.0005,43198,0.0005,0.0025,0.0005,0.0005,0.0005,0.0015916666666666668,0.0005,Will Ali Khamenei be the first leader out in 2025?,0.0,0.0,will-ali-khamenei-be-the-first-leader-out-in-2025,2025-03-11T21:46:31.162098Z,1740272.031154,13601881438992046076384545815698980746193422101943340127484424647186341846280
0.007040528288201161,0.022106928584768457,2026-01-01 08:10:47+00,2025-12-31T12:00:00Z,1767255047,True,10,0,43166,229.16,713.23,229.16,229.16,-0.0005,0.0,524150,0.0005,-0.2958587513919752,0.0005,43166,0.0005,0.001,0.0005,0.0005,0.0005,0.0005850694444444445,0.0005,Will Trump meet with Ali Khamenei in 2025?,0.0,0.0,will-trump-meet-with-ali-khamenei-in-2025,2025-02-19T21:14:59.859572Z,112323.080841,104155929591293254783821621142148815530531533147484945233340134539982409033440
0.007749909332688588,0.0032204898127374637,2026-01-01 08:38:49+00,2025-12-31T12:00:00Z,1767256729,True,10,0,43166,,720.0,,,-0.0015,0.0,520927,0.0005,-2.2511821971969095,0.0005,43166,0.0005,0.002,0.0005,0.0005,0.0005,0.0011715277777777778,0.0005,Iran Nuke in 2025?,0.0,0.0,iran-nuke-in-2025,2025-01-29T22:34:20.414Z,1523164.37993,43541906415508679325276246713350983384464924175917785722017487178637607801263
0.039171708776595746,0.019812998377230457,2026-01-01 08:52:39+00,2025-12-31T00:00:00Z,1767257559,True,10,0,43166,155.08,719.99,719.99,719.99,-0.0015,0.0,687779,0.0005,-1.9518352568502777,0.0005,43166,0.0005,0.002,0.0005,0.0005,0.0005,0.0011836805555555557,0.0005,U.S. operation to capture Maduro in 2025?,0.0,0.0,us-operation-to-capture-maduro-in-2025,2025-11-18T20:08:28.990093Z,122418.914961,87038633515950116363884113511213098399277554853324550313977836100885673437316
0.020622355536750483,0.01281457046016848,2026-01-01 09:49:37+00,,1767260977,True,10,0,43166,465.47,719.99,719.99,700.02,-0.001,0.0,688265,0.0005,-1.570271559183102,0.0005,43166,0.0005,0.0015,0.0005,0.0005,0.0005,0.00088125,0.0005,Maduro in U.S. custody by December 31?,0.0,0.0,maduro-in-us-custody-by-december-31,2025-11-18T02:01:06.242904Z,378652.124244,85617545184252487912828869012434958019628518580347549156402424031969826279414
0.004692520372526193,0.005947141724850035,2026-01-10 08:22:30+00,2026-01-31T00:00:00Z,1768033350,True,10,0,9752,,162.52,162.52,162.52,0.0,0.0,1096292,0.0005,-0.7049639249402475,0.0005,9752,0.0005,0.0005,0.0005,0.0005,0.0005,0.0007302083333333334,0.0005,"Nicolás Maduro released from custody by January 9, 2026?",0.0,0.0,nicols-maduro-released-from-custody-by-january-9-2026,2026-01-03T13:45:38.057792Z,1439202.144524,99358420953315417833610527143974154757160380736245157123174710958777785607974
