closed_time,end_date,event_ts,has_history,history_error,history_fidelity,market_id,question,signal_score,slug,start_date,volume_num,yes_token
2025-04-07 21:54:17+00,2025-04-07T12:00:00Z,1744062857,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=8631102011871754720536782624876346160186036466589409734780091373426454758236&startTs=1741470857&endTs=1744062857&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,534857,"Will Trump say ""Iran"" 3+ times during Netanyahu events today?",0.0,will-trump-say-iran-3-times-during-netanyahu-events-today,2025-04-07T15:02:03.814Z,7327.908235,8631102011871754720536782624876346160186036466589409734780091373426454758236
2025-04-10 21:04:21+00,2025-04-10T12:00:00Z,1744319061,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=65705644848739509993599732002728458021293414197111410129457205885850830248407&startTs=1741727061&endTs=1744319061&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,535819,"Will Trump say ""Iran"" 3+ times during his cabinet meeting on April 10?",0.0,will-trump-say-iran-3-times-during-his-cabinet-meeting-on-april-10,2025-04-09T22:19:48.539052Z,4974.196225,65705644848739509993599732002728458021293414197111410129457205885850830248407
2025-04-11 20:26:21+00,2025-12-31T12:00:00Z,1744403181,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=37480005786077232168491728028667052018971672136251707676670457687048789921456&startTs=1741811181&endTs=1744403181&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,535981,"Will Karoline Leavitt say ""Iran"" 3+ times during next White House press briefing?",0.0,will-karoline-leavitt-say-iran-3-times-during-next-white-house-press-briefing-04102025,2025-04-11T00:18:05.906422Z,150.983332,37480005786077232168491728028667052018971672136251707676670457687048789921456
2025-04-30 07:48:13+00,2025-04-29T12:00:00Z,1745999293,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=63798294103556352138310065106043397996191783435681636975647527999860207250244&startTs=1743407293&endTs=1745999293&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,519847,Will Trump meet with Ali Khamenei in his first 100 days?,0.0,will-trump-meet-with-ali-khamenei-in-his-first-100-days,2025-01-23T23:03:14.947013Z,200069.790465,63798294103556352138310065106043397996191783435681636975647527999860207250244
2025-05-01 08:15:25+00,2025-04-30T12:00:00Z,1746087325,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=98459411693464008582891330052775786892261102123444879805392238933791642554250&startTs=1743495325&endTs=1746087325&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,533151,US military action against Iran in April?,0.0,us-military-action-against-iran-in-april,2025-04-01T14:52:51.513648Z,1075567.463129,98459411693464008582891330052775786892261102123444879805392238933791642554250
2025-05-01 11:22:25+00,2025-04-30T12:00:00Z,1746098545,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=54037998082616777102246557105375948457846700095211627173407852146807039540946&startTs=1743506545&endTs=1746098545&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,533211,Israel military action against Iran in April?,0.0,israel-military-action-against-iran-in-april,2025-04-01T18:27:07.4165Z,683388.758467,54037998082616777102246557105375948457846700095211627173407852146807039540946
2025-06-01 06:44:11+00,2025-05-31T12:00:00Z,1748760251,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=44939317539819072767368114561139572498853620329975668979095413555067370578574&startTs=1746168251&endTs=1748760251&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,540916,Israel military action against Iran before June?,0.0,israel-military-action-against-iran-before-june,2025-05-02T18:21:51.083Z,698344.307603,44939317539819072767368114561139572498853620329975668979095413555067370578574
2025-06-01 07:09:55+00,2025-05-31T12:00:00Z,1748761795,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=64572482836577611258085510447352016661095667981978225611354285306981655491867&startTs=1746169795&endTs=1748761795&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,539681,Nothing Ever Happens: May,0.0,nothing-ever-happens-may,2025-04-25T21:30:33.883Z,275783.179404,64572482836577611258085510447352016661095667981978225611354285306981655491867
2025-06-01 07:25:51+00,2025-05-31T12:00:00Z,1748762751,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=8127949561830402818445460502269430289379233506812329992891685697450962278248&startTs=1746170751&endTs=1748762751&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,525668,Will Iran enrich uranium to 90% before June?,0.0,will-iran-enrich-uranium-to-90-before-june,2025-02-27T00:15:25.871Z,99254.450509,8127949561830402818445460502269430289379233506812329992891685697450962278248
2025-06-13 03:24:45+00,2025-06-30T12:00:00Z,1749785085,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=109681959945973300464568698402968596289258214226684818748321941747028805721376&startTs=1747193085&endTs=1749785085&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,532742,Israel military action against Iran before July?,0.0,israel-military-action-against-iran-before-july,2025-03-31T17:03:55.237Z,4506858.957355,109681959945973300464568698402968596289258214226684818748321941747028805721376
2025-06-22 03:03:06+00,2025-06-30T12:00:00Z,1750561386,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=114122071509644379678018727908709560226618148003371446110114509806601493071694&startTs=1747969386&endTs=1750561386&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,532741,US military action against Iran before July?,0.0,us-military-action-against-iran-before-july,2025-03-31T17:04:15.402Z,29917021.2541,114122071509644379678018727908709560226618148003371446110114509806601493071694
2025-07-01 06:04:13+00,2025-06-30T12:00:00Z,1751349853,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=25009308950201377351599447846248861147611469669632550804193755818060327719237&startTs=1748757853&endTs=1751349853&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,537195,US-Iran nuclear deal before July?,0.0,us-iran-nuclear-deal-before-july,2025-04-14T21:15:07.725Z,2905711.212092,25009308950201377351599447846248861147611469669632550804193755818060327719237
2025-10-21 18:35:03+00,2025-12-31T12:00:00Z,1761071703,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=13601881438992046076384545815698980746193422101943340127484424647186341846280&startTs=1758479703&endTs=1761071703&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,527803,Will Ali Khamenei be the first leader out in 2025?,0.0,will-ali-khamenei-be-the-first-leader-out-in-2025,2025-03-11T21:46:31.162098Z,1740272.031154,13601881438992046076384545815698980746193422101943340127484424647186341846280
2025-10-21 18:40:31+00,2025-12-31T12:00:00Z,1761072031,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=23493618722085605426254346228092420685811419629377493431936477083821097122986&startTs=1758480031&endTs=1761072031&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,527799,Will Nicolás Maduro be the first leader out in 2025?,0.0,will-nicols-maduro-be-the-first-leader-out-in-2025,2025-03-11T21:45:17.223138Z,2046070.936569,23493618722085605426254346228092420685811419629377493431936477083821097122986
2026-01-01 08:10:47+00,2025-12-31T12:00:00Z,1767255047,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=104155929591293254783821621142148815530531533147484945233340134539982409033440&startTs=1764663047&endTs=1767255047&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,524150,Will Trump meet with Ali Khamenei in 2025?,0.0,will-trump-meet-with-ali-khamenei-in-2025,2025-02-19T21:14:59.859572Z,112323.080841,104155929591293254783821621142148815530531533147484945233340134539982409033440
2026-01-01 08:35:51+00,2025-12-31T12:00:00Z,1767256551,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=86964554239869134298526596083850367463176146674230300967120111145834668642528&startTs=1764664551&endTs=1767256551&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,521878,US-Iran nuclear deal in 2025?,0.0,us-x-iran-nuclear-deal-in-2025,2025-02-05T18:52:39.101Z,2796606.535144,86964554239869134298526596083850367463176146674230300967120111145834668642528
2026-01-01 08:38:49+00,2025-12-31T12:00:00Z,1767256729,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=43541906415508679325276246713350983384464924175917785722017487178637607801263&startTs=1764664729&endTs=1767256729&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,520927,Iran Nuke in 2025?,0.0,iran-nuke-in-2025,2025-01-29T22:34:20.414Z,1523164.37993,43541906415508679325276246713350983384464924175917785722017487178637607801263
2026-01-01 08:40:57+00,2025-12-31T12:00:00Z,1767256857,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=108468416668663017133298741485453125150952822149773262784582671647441799250111&startTs=1764664857&endTs=1767256857&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,519695,Will Iran close the Strait of Hormuz in 2025?,0.0,will-iran-close-the-strait-of-hormuz-in-2025,2025-01-23T00:32:15.017Z,3538910.875464,108468416668663017133298741485453125150952822149773262784582671647441799250111
2026-01-01 08:52:39+00,2025-12-31T00:00:00Z,1767257559,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=87038633515950116363884113511213098399277554853324550313977836100885673437316&startTs=1764665559&endTs=1767257559&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,687779,U.S. operation to capture Maduro in 2025?,0.0,us-operation-to-capture-maduro-in-2025,2025-11-18T20:08:28.990093Z,122418.914961,87038633515950116363884113511213098399277554853324550313977836100885673437316
2026-01-01 09:49:37+00,,1767260977,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=85617545184252487912828869012434958019628518580347549156402424031969826279414&startTs=1764668977&endTs=1767260977&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,688265,Maduro in U.S. custody by December 31?,0.0,maduro-in-us-custody-by-december-31,2025-11-18T02:01:06.242904Z,378652.124244,85617545184252487912828869012434958019628518580347549156402424031969826279414
2026-01-10 08:22:30+00,2026-01-31T00:00:00Z,1768033350,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=99358420953315417833610527143974154757160380736245157123174710958777785607974&startTs=1765441350&endTs=1768033350&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,1096292,"Nicolás Maduro released from custody by January 9, 2026?",0.0,nicols-maduro-released-from-custody-by-january-9-2026,2026-01-03T13:45:38.057792Z,1439202.144524,99358420953315417833610527143974154757160380736245157123174710958777785607974
2026-03-02 13:31:39+00,2026-03-10T00:00:00Z,1772458299,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=24748787692148674467721380471093526911592120124083141304090990787224433180280&startTs=1769866299&endTs=1772458299&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,1465967,"Will US or Israel strike Iran on March 2, 2026?",0.0,will-us-or-israel-strike-iran-on-march-2-2026,2026-02-28T13:49:03.044893Z,2110344.914614,24748787692148674467721380471093526911592120124083141304090990787224433180280
2026-03-03 07:23:09+00,2026-03-31T00:00:00Z,1772522589,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=96019566727109921673613294266796469751129634681588314227501241682822173248361&startTs=1769930589&endTs=1772522589&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,1469316,Will Iran name a successor to Khamenei by March 2?,0.0,will-iran-name-a-successor-to-khamenei-by-march-2-645-466-285-492,2026-02-28T21:03:16.574Z,444387.911694,96019566727109921673613294266796469751129634681588314227501241682822173248361
2026-03-03 14:42:05+00,2026-03-10T00:00:00Z,1772548925,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=20671563278326194273629476841536443348129441258326357665995266071337784020692&startTs=1769956925&endTs=1772548925&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,1465968,"Will US or Israel strike Iran on March 3, 2026?",0.0,will-us-or-israel-strike-iran-on-march-3-2026,2026-02-28T13:49:07.282034Z,2127874.3337,20671563278326194273629476841536443348129441258326357665995266071337784020692
2026-03-04 07:36:51+00,2026-03-31T00:00:00Z,1772609811,False,"HTTP 400 for https://clob.polymarket.com/prices-history?market=74753836736840991270443732019659556710158468910097519189332179741440390804203&startTs=1770017811&endTs=1772609811&fidelity=1440: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",,1493097,"Will Iran announce a new supreme leader on March 3, 2026?",0.0,will-iran-announce-a-new-supreme-leader-on-march-3-2026,2026-03-03T20:10:00.498003Z,140397.330203,74753836736840991270443732019659556710158468910097519189332179741440390804203
